snt_id,sdr,sdr_i,si-snr,si-snr_i
tensor(0),8.480961009177467,8.436679860163816,7.908463478088379,7.928695201873779
tensor(0),3.1652577202879604,3.1887099440989117,2.109811544418335,2.2133426666259766
tensor(0),6.089392709959781,6.038553148666332,4.746804714202881,4.760365962982178
tensor(0),-5.1685369611477014,1.3693414390106007,-30.763832092285156,-9.255090713500977
tensor(0),-12.732333418348002,-15.653015041527427,-22.22018814086914,-6.569055557250977
tensor(0),-0.9539195539442162,-1.2349972252175956,-2.376835823059082,-2.5914337635040283
tensor(0),6.037904272176188,6.084113646134494,4.27580451965332,4.3614277839660645
tensor(0),-14.927685401132548,-10.976649924646916,-25.476198196411133,-17.0327205657959
tensor(0),6.348406333581265,6.361999209023341,5.254306316375732,5.304309844970703
tensor(0),-0.13994139226718483,-0.22892254173191917,-1.7655324935913086,-1.7294282913208008
tensor(0),-3.663307962345198,-4.53478757971897,-6.301246643066406,-6.681667804718018
tensor(0),6.803214861516938,6.8180645032904605,5.148987770080566,5.212266445159912
tensor(0),3.1538772816384455,3.1151601033545466,2.4993977546691895,2.5102505683898926
tensor(0),-4.364493157558029,-11.63107672087445,-22.45494270324707,-21.285112380981445
tensor(0),3.064114541992139,2.863324004809571,0.9715094566345215,2.8747191429138184
tensor(0),7.518307593919894,7.346185707311286,6.422992706298828,6.408058166503906
tensor(0),2.3628643146596193,2.4559868341565383,1.373880386352539,1.5158073902130127
tensor(0),-1.4966307445226832,-2.682871377203705,-4.265502452850342,-4.180062770843506
tensor(0),7.0354265364451996,7.028378919135064,6.220865249633789,6.2385149002075195
tensor(0),5.541117095785902,5.496668445289716,4.3838911056518555,4.354189872741699
tensor(0),-9.120119341889609,-11.940115356958312,-25.481979370117188,-12.004711151123047
tensor(0),3.552462785034356,3.526873767396004,2.628584861755371,2.624361753463745
tensor(0),0.46764938893925845,0.41315610093547483,-0.4810508191585541,-0.5049618482589722
tensor(0),-14.649456274057314,-18.56051127613362,-35.446590423583984,-16.471561431884766
tensor(0),-9.715220881797828,-15.208925283162507,-26.16654396057129,-17.26426124572754
tensor(0),-6.5941764040330595,-9.576547357410622,-15.470900535583496,-11.965210914611816
tensor(0),5.247608810912033,4.688995927959467,3.938603401184082,3.989126205444336
tensor(0),2.6245275760490663,2.5765896366659065,2.025055408477783,2.0439860820770264
tensor(0),9.522874820378807,9.388819614361946,8.145378112792969,8.104907989501953
tensor(0),4.0665709620209505,3.9365172623539877,2.1667821407318115,2.079314708709717
avg,0.2518905707143965,-0.36981005368228587,-4.948340824246406,-1.833721125125885
