snt_id,sdr,sdr_i,si-snr,si-snr_i
AM Contra - Heart Peripheral_0,-15.071710875898859,-15.115992024912504,8.297871589660645,8.318103790283203
Al James - Schoolboy Facination_0,-7.192514153752061,-7.169061929941117,1.8722155094146729,1.975746512413025
Arise - Run Run Run_0,-10.733210017823259,-10.784049579116706,4.773403167724609,4.786964416503906
BKS - Bulldozer_0,-31.48875953714652,-24.95088113698826,-29.013423919677734,-7.504682540893555
BKS - Too Much_0,-16.08795996226555,-19.00864158544495,-24.782306671142578,-9.131174087524414
Carlos Gonzalez - A Place For Us_0,-5.912339780750184,-6.193417452023568,-0.727534294128418,-0.9421322345733643
Enda Reilly - Cur An Long Ag Seol_0,-12.191527280539873,-12.145317906581555,5.2156476974487305,5.301270961761475
Hollow Ground - Ill Fate_0,-28.703581753401835,-24.752546276916203,-28.56231117248535,-20.118833541870117
Lyndsey Ollard - Catching Up_0,-11.928367514205583,-11.914774638763502,5.384582042694092,5.4345855712890625
M.E.R.C. Music - Knockout_0,-4.16510675550783,-4.254087904972574,0.43970823287963867,0.4758124351501465
Motor Tapes - Shore_0,-3.8218163715337816,-4.693295988907552,-9.76882266998291,-10.14924430847168
Mu - Too Bright_0,-11.938936595013251,-11.924086953239724,6.215819835662842,6.2790985107421875
Nerve 9 - Pray For The Rain_0,-7.627658712308711,-7.66637589059261,1.2365801334381104,1.2474329471588135
PR - Happy Daze_0,-9.280562255302943,-16.54714581861934,-19.723285675048828,-18.553455352783203
PR - Oh No_0,-10.407684119579049,-10.608474656761832,2.3211960792541504,4.224405765533447
Punkdisco - Oral Hygiene_0,-10.871323436948781,-11.043445323557396,4.625316619873047,4.610382080078125
Sambasevam Shanmugam - Kaathaadi_0,-4.921132183977663,-4.828009664480732,-1.8615491390228271,-1.7196221351623535
Secretariat - Borderline_0,-11.797820862473833,-12.984061495154858,-0.4588956832885742,-0.3734560012817383
Side Effects Project - Sing With Me_0,-10.947696126424194,-10.95474374373433,5.112260818481445,5.129910469055176
Signe Jakobsen - What Have You Done To Me_0,-8.599430387924528,-8.643879038420728,3.2413268089294434,3.211625576019287
Skelpolu - Resurrection_0,-10.321168552843274,-13.141164567911975,-21.292875289916992,-7.815607070922852
Speak Softly - Broken Man_0,-11.002230151139344,-11.027819168777707,3.366117477416992,3.361894369125366
Speak Softly - Like Horses_0,-4.813296809261839,-4.867790097265626,0.6849695444107056,0.6610585451126099
The Doppler Shift - Atrophy_0,-16.678235437301677,-20.58929043937798,-34.342288970947266,-15.367259979248047
The Easton Ellises (Baumi) - SDRNR_0,-6.411057592474339,-11.904761993839045,-22.171480178833008,-13.269197463989258
The Easton Ellises - Falcon 69_0,-9.4155063765858,-12.397877329962938,-18.455604553222656,-14.949914932250977
The Sunshine Garcia Band - For I Am The Moon_0,-13.027868378524541,-13.586481261477113,5.937722206115723,5.988245010375977
Timboz - Pony_0,-9.974548085900244,-10.022486025283413,1.2055094242095947,1.224440097808838
Tom McKenzie - Directions_0,-10.725935604080664,-10.85999081009752,6.543622970581055,6.503153324127197
Triviul feat. The Fiend - Widow_0,-12.575816656976093,-12.705870356643059,3.4917099475860596,3.404242515563965
avg,-11.287826744262206,-11.90952736865888,-4.7064932703971865,-1.5918735583623251
